T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
35,South-eastern Asia,2024,"Seats held by women in national parliament, as of February (%)",,,23.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,6.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,17.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,17.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2023,"Seats held by women in national parliament, as of February (%)",,,16.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
34,Southern Asia,2024,"Seats held by women in national parliament, as of February (%)",,,16.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2000,"Seats held by women in national parliament, as of February (%)",,,5.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2005,"Seats held by women in national parliament, as of February (%)",,,5.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2010,"Seats held by women in national parliament, as of February (%)",,,9.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2015,"Seats held by women in national parliament, as of February (%)",,,12.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2020,"Seats held by women in national parliament, as of February (%)",,,15.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2021,"Seats held by women in national parliament, as of February (%)",,,15.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2022,"Seats held by women in national parliament, as of February (%)",,,16.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2023,"Seats held by women in national parliament, as of February (%)",,,16.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
145,Western Asia,2024,"Seats held by women in national parliament, as of February (%)",,,17.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,9.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,15.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2021,"Seats held by women in national parliament, as of February (%)",,,23.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
135,Caucasus and Central Asia,2022,"Seats held by women in national parliament, as of February (%)",,,25.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2000,"Seats held by women in national parliament, as of February (%)",,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2005,"Seats held by women in national parliament, as of February (%)",,,20.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2010,"Seats held by women in national parliament, as of February (%)",,,23.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2015,"Seats held by women in national parliament, as of February (%)",,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2020,"Seats held by women in national parliament, as of February (%)",,,31.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2021,"Seats held by women in national parliament, as of February (%)",,,31.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2022,"Seats held by women in national parliament, as of February (%)",,,32.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2023,"Seats held by women in national parliament, as of February (%)",,,32.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
150,Europe,2024,"Seats held by women in national parliament, as of February (%)",,,32.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,9.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2005,"Seats held by women in national parliament, as of February (%)",,,14.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2010,"Seats held by women in national parliament, as of February (%)",,,15.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2015,"Seats held by women in national parliament, as of February (%)",,,16.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2020,"Seats held by women in national parliament, as of February (%)",,,22.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2021,"Seats held by women in national parliament, as of February (%)",,,22.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2022,"Seats held by women in national parliament, as of February (%)",,,22.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2023,"Seats held by women in national parliament, as of February (%)",,,22.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
151,Eastern Europe,2024,"Seats held by women in national parliament, as of February (%)",,,23.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
154,Northern Europe,2000,"Seats held by women in national parliament, as of February (%)",,,27.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
